AppTimestamp(s),SensorTimestamp(s),Gyr_X,Gyr_Y,Gyr_Z,Label,Latitude,Longitude
5.737,2735688.919,0.00069,0.00015,8e-05,9,4.8,6
5.756,2735688.938,-0.00115,-0.00046,8e-05,9,4.8,6
5.779,2735688.957,8e-05,0.00015,-0.00053,9,4.8,6
5.793,2735688.976,8e-05,0.00015,-0.00053,9,4.8,6
5.814,2735688.995,0.00069,0.00015,-0.00053,9,4.8,6
5.836,2735689.014,-0.00053,0.00015,8e-05,9,4.8,6
5.853,2735689.033,8e-05,-0.00046,8e-05,9,4.8,6
5.873,2735689.052,-0.00053,0.00015,8e-05,9,4.8,6
5.891,2735689.071,8e-05,0.00015,-0.00053,9,4.8,6
5.91,2735689.09,-0.00053,0.00015,8e-05,9,4.8,6
5.927,2735689.109,8e-05,0.00015,-0.00053,9,4.8,6
5.946,2735689.128,0.00069,0.00015,-0.00053,9,4.8,6
5.968,2735689.147,8e-05,0.00015,8e-05,9,4.8,6
5.985,2735689.166,8e-05,0.00076,8e-05,9,4.8,6
6.006,2735689.185,-0.00053,-0.00046,8e-05,9,4.8,6
6.022,2735689.205,8e-05,-0.00046,8e-05,9,4.8,6
6.041,2735689.224,-0.00053,-0.00046,0.00069,9,4.8,6
6.06,2735689.243,8e-05,-0.00046,8e-05,9,4.8,6
6.08,2735689.262,-0.00053,-0.00046,8e-05,9,4.8,6
6.097,2735689.281,0.00069,-0.00046,-0.00053,9,4.8,6
6.117,2735689.3,-0.00053,-0.00046,-0.00053,9,4.8,6
6.137,2735689.319,8e-05,-0.00046,8e-05,9,4.8,6
6.156,2735689.338,8e-05,-0.00046,8e-05,9,4.8,6
6.178,2735689.357,8e-05,0.00015,8e-05,9,4.8,6
6.192,2735689.376,-0.00053,0.00015,8e-05,9,4.8,6
6.211,2735689.395,8e-05,0.00015,-0.00046,9,4.8,6
6.235,2735689.414,8e-05,0.00015,-0.00107,9,4.8,6
6.254,2735689.433,8e-05,0.00015,-0.00046,9,4.8,6
6.27,2735689.452,8e-05,0.00015,-0.00046,9,4.8,6
6.293,2735689.471,-0.00053,0.00015,0.00015,9,4.8,6
6.31,2735689.49,0.00069,0.00076,0.00076,9,4.8,6
6.328,2735689.509,-0.00053,0.00015,0.00015,9,4.8,6
6.345,2735689.528,8e-05,0.00023,-0.00046,9,4.8,6
6.367,2735689.547,-0.00053,0.00023,0.00015,9,4.8,6
6.384,2735689.566,8e-05,0.00023,-0.00046,9,4.8,6
6.403,2735689.585,8e-05,0.00023,0.00015,9,4.8,6
6.421,2735689.604,8e-05,0.00023,-0.00046,9,4.8,6
6.44,2735689.623,-0.00046,0.00023,-0.00046,9,4.8,6
6.46,2735689.642,0.00076,-0.00038,0.00015,9,4.8,6
6.479,2735689.661,0.00015,-0.00038,0.00015,9,4.8,6
6.497,2735689.68,-0.00046,0.00023,0.00023,9,4.8,6
6.517,2735689.699,-0.00046,0.00023,-0.00038,9,4.8,6
6.541,2735689.718,-0.00046,0.00023,0.00023,9,4.8,6
6.56,2735689.737,0.00076,0.00023,-0.00038,9,4.8,6
