AppTimestamp(s),SensorTimestamp(s),Acc_X,Acc_Y,Acc_Z,Label,Latitude,Longitude
6.999,2730095.695,-0.04756,-0.0999,9.88445,4,3,6
7.016,2730095.714,-0.04756,-0.08554,9.88206,4,3,6
7.037,2730095.733,-0.04756,-0.10229,9.87967,4,3,6
7.056,2730095.752,-0.04038,-0.09272,9.88924,4,3,6
7.076,2730095.771,-0.03799,-0.09751,9.87727,4,3,6
7.099,2730095.79,-0.03559,-0.08794,9.88206,4,3,6
7.113,2730095.809,-0.04516,-0.09272,9.87967,4,3,6
7.131,2730095.828,-0.05474,-0.08076,9.88206,4,3,6
7.151,2730095.847,-0.04516,-0.09033,9.87967,4,3,6
7.175,2730095.866,-0.05234,-0.09033,9.88445,4,3,6
7.187,2730095.885,-0.04756,-0.08554,9.87967,4,3,6
7.207,2730095.904,-0.04516,-0.07597,9.87488,4,3,6
7.227,2730095.923,-0.04756,-0.08315,9.88924,4,3,6
7.248,2730095.942,-0.03799,-0.09033,9.88445,4,3,6
7.265,2730095.961,-0.03799,-0.0999,9.88206,4,3,6
7.283,2730095.98,-0.05474,-0.08794,9.88684,4,3,6
7.303,2730095.999,-0.02841,-0.09033,9.88684,4,3,6
7.322,2730096.018,-0.03559,-0.09033,9.88445,4,3,6
7.341,2730096.037,-0.03081,-0.08794,9.88924,4,3,6
7.36,2730096.056,-0.04277,-0.08794,9.88445,4,3,6
7.383,2730096.075,-0.04995,-0.09751,9.88924,4,3,6
7.398,2730096.094,-0.04277,-0.09033,9.87727,4,3,6
7.419,2730096.113,-0.04038,-0.09751,9.88206,4,3,6
7.436,2730096.132,-0.04038,-0.07836,9.87488,4,3,6
7.456,2730096.151,-0.04038,-0.0999,9.88445,4,3,6
7.476,2730096.17,-0.04277,-0.08794,9.87249,4,3,6
7.493,2730096.189,-0.05234,-0.09511,9.88445,4,3,6
7.512,2730096.208,-0.03559,-0.09272,9.87009,4,3,6
7.531,2730096.227,-0.03799,-0.08794,9.88684,4,3,6
7.55,2730096.247,-0.04756,-0.09511,9.87488,4,3,6
7.569,2730096.266,-0.04756,-0.08554,9.87967,4,3,6
7.59,2730096.285,-0.04995,-0.09511,9.87967,4,3,6
7.61,2730096.304,-0.05474,-0.0999,9.88924,4,3,6
7.629,2730096.323,-0.04995,-0.10229,9.87249,4,3,6
7.646,2730096.342,-0.04995,-0.09033,9.88206,4,3,6
7.669,2730096.361,-0.03799,-0.08794,9.87727,4,3,6
7.683,2730096.38,-0.04516,-0.09272,9.87727,4,3,6
7.703,2730096.399,-0.04516,-0.09511,9.88445,4,3,6
7.722,2730096.418,-0.04516,-0.09751,9.88684,4,3,6
7.745,2730096.437,-0.04756,-0.09751,9.88445,4,3,6
7.763,2730096.456,-0.03799,-0.0999,9.87727,4,3,6
7.78,2730096.475,-0.04277,-0.10469,9.88206,4,3,6
7.801,2730096.494,-0.04516,-0.08554,9.88206,4,3,6
7.82,2730096.513,-0.04277,-0.09033,9.87727,4,3,6
7.835,2730096.532,-0.04277,-0.07836,9.88206,4,3,6
7.858,2730096.551,-0.04516,-0.09272,9.87967,4,3,6
7.875,2730096.57,-0.04516,-0.09272,9.87967,4,3,6
7.894,2730096.589,-0.04038,-0.10229,9.87488,4,3,6
